JURS_NAME,YEAR,PROGRAM_NAME,PROGRAM_OBJECTIVE,ACCOMPLISHED_DT,PROGRAM_STATUS
SANTA CLARITA,2020,H 5.3 Expidited Processing for Affordable Housing Projects,Provide expidited process for affordable housing projects.,Ongoing,No affordable housing development proposals were received in 2020.
SANTA CLARITA,2020,H 6.4 Mobile Home Rent Adjustment Policies,Administer the mobile home rent adjustment ordinance.,Ongoing,In 2020 there were no updates to the Mobile Home Rent Adjustment Ordinance and no request for rent increase appeals were received.
BURBANK,2020,Second Dwelling Units,Promote development of second units and monitor SDU development trends annually to evaluate if modifications are needed for City requirements.,Ongoing,"In compliance with further amendments made to State ADU laws taking effect January 2020, updated ADU and Junior ADU development standards and processing requirements were adopted by the City Counil in November 2020, taking effect December 2020."
HERMOSA BEACH,2020,Program 6 Fair Housing.,Provide assistance to local fair housing organizations to address complaints regarding housing discrimination within the City and provide counseling in landlord/tenant disputes.,Ongoing,The City continued to promote fair housing.
HERMOSA BEACH,2020,Program 7 Zoning for Special Needs and Affordable Housing.,Continue to monitor changes in state law regarding regulations related to persons with special needs and affordable housing.,Ongoing,The City continued to monitor state law regarding special needs and affordable housing.
GLENDORA,2020,7 - Development Incentives,Offer incentives to encourage residential development.,Ongoing,The City offers incentives for residential development including the state density bonus law for affordable and senior housing.
WALNUT,2020,Building Codes and Enforcement,Ensure that all housing units are built and maintained to specified standards.,Ongoing,Building & Safety and Code Enforcement review reoccuring violations and help implement ideas and resources to help minimize any further actions. Annually update the Building & Safety Code to be consistent with the California Buidling Standards Law Health and Safety Code
WALNUT,2020,Senior Housing,Facilitate and administer ownership of the availability of exisitng Senior Housing,Ongoing,Continue to advertise the availability of existing Senior Housing developments (Walnut Grove and Magnolia).
WALNUT,2020,Energy Conservation,Promote energy conservation and providing materials to help assist in programs from utility companies,Ongoing,Authorize local participation in various Property Assessed Clean Energy Programs (PACE). Continue the distribution of materials from utility companies to encourage energy efficent improvements and upgrades.
WALNUT,2020,Fair Housing and Tenant/Landlord Services,"Contract with a fair housing service provider through the Los Angeles County Development Commission to provide tenant/landloard information, referrals, and other fair housing information to all residents",Ongoing,"Continue to provide fair housing services through the Los Angeles Community Development Commission. Publicize program information on the City's website, City Hall,a nd other public locations. Rerfer complains and requests for service to the fair housing service provider."
MONTEBELLO,2020,Home Improvement Programs,"To provide brochures at the City’s Community Development Department and on the City’s website regarding the Home Improvement and Senior Grant programs; to work with the Montebello Housing Development Corporation to provide seminars, advocacy, and education sessions to provide information on available housing programs in the City; to assist 10 owneroccupied units per year, for a total of 60 units; and to rehabilitate 10 properties per year through the Senior Grant Program, for a total of 60 units during the 2014-2021 Housing Element cycle.",Ongoing,This program was continuously implemented during 2020 and will be continued throughout the 2014-2021 planning period.
MONTEBELLO,2020,Housing Mediation Board,"To provide assistance to property owners and renters and regularly update the Analysis of Impediments to Fair Housing Choice, consistent with HUD guidelines; and to offer workshops and trainings to property owners and managers of rental properties.",Ongoing,This program has not yet been implemented.  The City will evaluate whether this program will be carried into the next Housing Element planning cycle.
ARTESIA,2021,Green Building Practices and Energy Conservation,Encourage energy conservation in residential development,Ongoing,Program in effect.
WALNUT,2021,Senior Housing,Facilitate and administer ownership of the availability of exisitng Senior Housing,Ongoing,Continue to advertise the availability of existing Senior Housing developments (Walnut Grove and Magnolia).
REDONDO BEACH,2021,Program 11: Mixed-Use Housing Development,Continue marketing mixed use development and annually conduct marketing events.,Ongoing,"In 2011, the City amended the land use regulations and development standards related to building height, permitted uses and parking requirements within the Mixed Use (MU) and Regional Commercial (RC) zones. These amendments were intended to ensure that residential uses in the City’s mixed use zones were not adversely impacted by adjacent commercial uses. Since 2014, the following mixed use developments have been developed or proposed in the City:

Legado Mixed Use Project: A 115-unit mixed use project has been approved at 1700 S. Pacific Coast Highway. This project is adjacent to Site #1 (Pacific Coast Highway Mixed Use) in the Residential Sites Inventory (discussed below).

219 Avenue I Mixed Use Project: A mixed use project consisting of 12 apartment units and 6,000 square feet of commercial development has been approved on a property zoned MU-3C within the Coastal Zone. Two of the units will be set aside as affordable housing. The specific income level of the affordable units will be ""moderate income"". 

Seabreeze Mixed Use Project: Similar to the Legado Project discussed above, this project is a 52-unit residential condominium project with approximately 10,000 square feet of commercial space, which was recently completed (2020) This site also demonstrates the feasibility of intensification along S. Pacific Coast Highway.

The Galleria Project: This is a Commercial-Retail/Hotel/Office and Residential Mixed Use Project that includes the development of 300 residential apartments, with 10% (30 units) very low income deed restricted or 20% (60 units) low income deed restricted and was approved in 2019 on a property zoned CR (Commercial Regional - allows mixed used residential). Up to 60 of the units are to be set aside as affordable housing. The specific income level of the affordable units will be either ""very low or low income"".

This program is included in the 2017 Housing Element Update. As part of the City's recently adopted 6th Cycle Housing Element, this program has been updated and modified and incorporated into a program focusing on ""Small Lot Development/Lot Consolidation"" and a program that identifies ways to better support the identified ""Residential Sites Inventory"" locations, of which mixed use sites are included."
